cpi,corecpi,stir,ltir,reer,ber,m2,rgdp,privdebt,privdebt_bank
408316527,384031717,455946617,419361657,246271103,134723608,409144567,414411187,371937387 (NNRCAKXYN),371937427 (NNRCAKXYR)
408316967,384032237,455946977,419360767,215440502,240350403,409144577,414411197,371937887 (NNRCAKYAL),371937927 (NNRCAKYAP)
408319617,384032287,455962087,257534903,212121902,227797102,409144587,227065102,371937637 (NNRCAKXZM),371937677 (NNRCAKXZQ)
408319637,384032357,455946647,419517237,268027201,227551502,414245187,414411207,371938137 (NNRCAKYBK),371938177 (NNRCAKYBO)
414282467,384044777,450248047,285013102 (BMGBF),238289903,211194702,414245197,414411217,371938317 (NNRCAKYCC),371938357 (NNRCAKYCG)
408322777,384044857,456055537,257558803,242508403,238289503,409144617,455955307,371938567 (NNRCAKYDB),371938607 (NNRCAKYDF)
408322887,385761957,455954277,419517207,255929103,238287103,409144627,242791303,377032917,377032957
408327487,384045697,455947147,419522377,400513047,227645702,409144637,511206957,371939037 (NNRCAKYEW),371939077 (NNRCAKYFA)
408338127,414308757,401502047 (BMHBAAAAAAAAAC),419652447,238283203,211630402 (BMDAAAAAA),409144647,211433102,384683337,384683377
408338147,384050607,456040267,419522517,298258201,227634802,409144657,414411227,371939287 (NNRCAKYFV),371939327 (NNRCAKYFZ)
408341107,384050667,455909367,419522727,357409587,238282403,409144667,298257101,371939787 (NNRCAKYHT),371939827 (NNRCAKYHX)
408341297,384050757,455981637,455745427,383886897,419522187,409144677,354541507,371940287 (NNRCAKYJR),371940327 (NNRCAKYJV)
408341327,384050817,455949907,389879787,370012707,237753803,409144687,238056203,371940537 (NNRCAKYKQ),371940577 (NNRCAKYKU)
408341807,384050897,403712347,286958004,237860403,238111103,409144697,414411237,371939537 (NNRCAKYGU),371939577 (NNRCAKYGY)
408342317,384050987,455981727,257596103,212025702,237414703 (BRMAAAAAB),409144707,249414901 (BNAABAAAA),371941037 (NNRCAKYMO),371941077 (NNRCAKYMS)
408342337,384051127,455961417,256401903,230169902,259758901 (BNMAAAAA),409144717,414411247,371941257 (NNRCAKYNK),371941297 (NNRCAKYNO)
408342377,384052317,389879807,285448202,320901401,237860903,409144727,414411257,371941507 (NNRCAKYOJ),371941547 (NNRCAKYON)
408342357,384052387,456040067,419513597,230170002,259759101 (KHMAAAAA),409144737,414411267,371942197 (NNRCAKYRA),371942237 (NNRCAKYRE)
414282487,374733227,455946577,455443797,356898917,212024902,414245207,249098001 (CAAORS),371941727 (NNRCAKYPF),371941767 (NNRCAKYPJ)
408363177,384052577,455909467,419652457,238194603,227797202,409144757,414411277,371941977 (NNRCAKYQE),371942017 (NNRCAKYQI)
408364137,384052677,460322387,285449002,126751808,260458501 (CMABGP),414245217,456040047,374676777 (NNRCAKZUR),374676817 (NNRCAKZUV)
408364147,384078087,456043657,314404901,213033302,227797302,409144777,414411287,371942447 (NNRCAKYRZ),371942487 (NNRCAKYSD)
408364157,501631397,455937277,283865204,401042437,238197203,409144787,414411297,371942697 (NNRCAKYSY),371942737 (NNRCAKYTC)
408365517,384078157,455937967,314404801,212320402,238193803,409144797,414411307,371943167 (NNRCAKYUT),371943207 (NNRCAKYUX)
408941797,414308777,456043687,402772567,211396702 (EUMAAAAAAB),212315802,414245497,250819501,371943567 (NNRCAKYWH),371943607 (NNRCAKYWL)
408941817,384078307,458626517,419360757,210352302,210890302,409144817,210467002,371943387 (NNRCAKYVP),371943427 (NNRCAKYVT)
408941857,384078397,256312403,419360817,212090202 (FRMAAAAAD),419532827,409144827,414411317,371943817 (NNRCAKYXG),371943857 (NNRCAKYXK)
408941877,384078477,456113907,256399803,242508603,212527802,409144837,414411327,374676997 (NNRCAKZVN),374677037 (NNRCAKZVR)
408941917,384078567,402636737,257638903,211825502 (EMAAAAAAAB),248449003,414245507,414411337,371944067 (NNRCAKYYF),371944107 (NNRCAKYYJ)
408941937,414308797,455961407,419360897,402739727,211394902 (EUMAAAAAAC),409144857,414411347,371944317 (NNRCAKYZE),371944357 (NNRCAKYZI)
408941957,384078767,455656937,284983902,238200903,210350302,409144867,237938503,371944567 (NNRCAKZAD),371944607 (NNRCAKZAH)
414282507,414308817,455660477,257636403,211243502 (HMAAAAAA),212090102 (FRMAAAAAC),409144877,414411357,371944747 (NNRCAKZAV),371944787 (NNRCAKZAZ)
408942147,384081327,456040017,419517297,212323302,240339303,403764967,414411367,371944927 (NNRCAKZBN),371944967 (NNRCAKZBR)
414282527,403465427,459064577,314405001,211005602,211826502 (EMAAAAAAAA),409144897,414411377,371945397 (NNRCAKZDI),371945437 (NNRCAKZDM)
458957567,403708897,249446201 (DMAAAAAZAA),419361607,211637602 (IMEEAAAAA),296084804,409144907,414411387,371946587 (NNRCAKZHX),371946627 (NNRCAKZIB)
408948697,403632037,455945377,419517887,315766902,238199003,414245517,414411397,371942917 (NNRCAKYTU),371942957 (NNRCAKYTY)
414282547,384082107,456043737,419355007,237004803,211242402 (HMAAAAAB),409144927,414411407,371940037 (NNRCAKYIS),371940077 (NNRCAKYIW)
408948737,384082197,456043757,284322802,237987503,212321902,409144937,211636502 (IAYCAAAAA),371945177 (NNRCAKZCM),371945217 (NNRCAKZCQ)
408948757,384082257,450247917,285453902,246280503,227634102,409144947,249445001 (DAAAAAAZAA),371938817 (NNRCAKYEA),371938857 (NNRCAKYEE)
408948807,384094697,456050357,456056517,211827102 (ITMAAAAAAD),227651502 (IMDAAAAAA),409144957,355821777,371945617 (NNRCAKZEE),371945657 (NNRCAKZEI)
408948827,384094757,456050687,257500603,210494602,249446301 (DMAAAAAZAB),409144967,414411417,371945867 (NNRCAKZFD),371945907 (NNRCAKZFH)
408948847,384094847,450505827,257596003,249418101 (JMAAAAAAAB),236415503,409144977,414411427,371940787 (NNRCAKYLP),371940827 (NNRCAKYLT)
408948887,384094927,455949827,419513277,242490103,237986403,409144987,414411437,371946117 (NNRCAKZGC),371946157 (NNRCAKZGG)
414282567,384095007,455718207,257634603,315766802,236287403,409144997,414411447,371946367 (NNRCAKZHB),371946407 (NNRCAKZHF)
408949137,384095217,456056467,389676767,419688217,211827002 (ITMAAAAAAC),409145007,210509802,,
408949197,384095267,456056497,456055437,243474303,210494502,409145017,414411457,,
414282587,384095347,456056617,419515457,210484202,249416601 (JMAAAAAAAC),409145027,414411467,,
408949287,403702497,455945407,419517687,212327002,210511302,409145037,455949927,,
408949627,384095457,455718257,301135901,211404102,240352603,414267947,400655287,,
409104577,385761927,456060577,285455702,238120003,211431402,409145057,270662803,,
408952357,384096487,455718937,419517597,237849603,227692502 (KMAAAAAAA),409145067,414411477,,
408952397,384096787,450505707,419518047,315767002,238062703,249411101 (LAKAABAAA),414411487,,
408952447,384097447,456043857,403900617,238294203,240350703,409145077,414411497,,
408952467,384097537,456057377,406281287,237417903 (MXMAAAAAA),243474703,409145087,249222301 (MOABAAAAA),,
408953057,384097627,456044197,449392447,211828802,259759001 (LAMABAAAA),409145097,208962702 (MAIABAAAA),,
408953077,384098247,456055417,357393937,246440603,302926004,409145107,456110757,,
408953137,384098387,456055477,256391403,211004102,227645902,409145117,317135702,,
408953157,384111337,456043797,256390703,502975627,361014687,409145127,414411507,,
408953177,384111407,402820767,258052303,210415602,218076302,409145137,291538902,,
408955577,384111557,455941627,385780017,230645302,249223101 (MOMEBAACB),409145147,368292997,,
408955597,384111617,455941647,419513227,237945903,239407903,409145157,456055447,,
409003007,384111697,455954387,257541703,245734302,240339403,409145167,414411517,,
409003027,384081567,196691902,256389403,419980067 (ZMIDALAAAAAAAO),208964802 (MMAAAAAAB),409145177,496992657,,
409003057,384111827,455946547,419517857,298260601,238293103,409145187,419327677,,
409003067,384111887,455954877,257596203,215449402,211549002,409145197,414411527,,
409003127,384112007,211490702 (ZMAAAAAAA),419513427,249414601 (PMAAAAAZAC),237416903 (MXMAAAAAC),409145207,414411537,,
409003147,384112077,455981737,285457102,246278903,211828302,409145217,356490437,,
409003327,384114747,455972897,419652997,211831702,243085503,409145227,357434087,,
409003357,384123077,455961697,419513687,246280303,238189303,409145237,414411547,,
409003457,384123787,455961497,312151901 (TMEFABA),238116303,240352003,409145247,366837327,,
409040757,384123887,455954947,419361837,211189702,350372602,409145257,298259101,,
409042847,384124117,455957697,404754887,419652497,247430401 (MMMAAAAAA),409145267,215448002,,
211506702,414308837,385779837,314405101,230715502,292276301,409145277,414411557,,
409042997,384125147,455756467,419522637,238177703,214488802,409145287,414411567,,
408955557,414282547,455946277,455945487,238117903,211504802,409145297,414411577,,
414282607,,450505467,402591007,230779802,236274303,409145307,369746997,,
409043037,,455955007,,238174303,210347502,409145317,414411587,,
409077347,,456058727,,414566477 (LMGFHAAAAAAAAQ),227646302,409145327,414411597,,
409077427,,450247997,,245733702,227651602 (ZMDMBAAAA),409145337,455756487,,
409077447,,455957747,,255992503,227797402,409145347,414411607,,
409077507,,455946227,,320901501,298259701,409145357,211457102 (SAUCCAAAA),,
409079067,,450247707,,247334701 (TMIADA),227800002,409145367,414411617,,
409079087,,456108387,,211196202,249413701 (PMAAAAAZAD),409145377,414411627,,
409079107,,455946357,,237008503 (TRMCCAAR),212328302,409145387,414411637,,
409079187,,455946397,,242470403,211830602,409145397,414411647,,
409098657,,455942317,,271708903,236041903,409145407,414411657,,
409098677,,456127717,,311853001 (GMAAAAAD),111961008,414267937,211488202 (LANCBAAAA),,
409098697,,455945477,,412506977,240341103,409145427,415572547,,
409098717,,403701087,,251099201,240351403,409145437,414411667,,
414282627,,455941507,,402595377,238284403,409145447,414411677,,
409103657,,456086037,,,211458702 (SMDAAAAAA),409145457,414411687,,
409103687,,402590997,,,238176803,409145467,455946757,,
409103707,,16302501,,,238118703,415572607,414411697,,
408950227,,459147007,,,211922302,409145477,236305503 (TRAMBT),,
409103717,,459145777,,,238173303,409145487,361009127,,
409103727,,,,,211489602 (LMDMBAAAA),409145497,414341107,,
449377467,,,,,235959702,409145507,414411707,,
409103737,,,,,211675002,414267957,414411717,,
409103747,,,,,237934203,409145527,251072501,,
409103847,,,,,240355603,409145537,416805867,,
409103857,,,,,314529301 (WMDFAAAA),409145547,212313202,,
414282647,,,,,238115003,409145557,468026567,,
409103877,,,,,247334101 (TMAAAAAA),409145567,402590667,,
409103887,,,,,240351703,409145577,,,
409103897,,,,,236291103 (TRMGAA),414278167,,,
409103907,,,,,240352503,414278177,,,
409104217,,,,,227645402,409145607,,,
409104227,,,,,209932002 (GMAAAAAAC),416805927,,,
409104237,,,,,227800102,409145617,,,
414282667,,,,,416739187,409145627,,,
409104257,,,,,227800202,409145647,,,
416805977,,,,,227697902 (VMAAAAAAB),,,,
409104267,,,,,240353503,,,,
409104277,,,,,402595367,,,,
409104287,,,,,,,,,
409104297,,,,,,,,,
